Peak_Players;Date;Game_Name
942519;2021-09-01;Counter Strike: Global Offensive
802544;2021-08-01;Counter Strike: Global Offensive
763523;2021-07-01;Counter Strike: Global Offensive
929940;2021-06-01;Counter Strike: Global Offensive
1087197;2021-05-01;Counter Strike: Global Offensive
1148077;2021-04-01;Counter Strike: Global Offensive
1198581;2021-03-01;Counter Strike: Global Offensive
1123485;2021-02-01;Counter Strike: Global Offensive
1124553;2021-01-01;Counter Strike: Global Offensive
1164396;2020-12-01;Counter Strike: Global Offensive
1037464;2020-11-01;Counter Strike: Global Offensive
943876;2020-10-01;Counter Strike: Global Offensive
977769;2020-09-01;Counter Strike: Global Offensive
925348;2020-08-01;Counter Strike: Global Offensive
857560;2020-07-01;Counter Strike: Global Offensive
1009467;2020-06-01;Counter Strike: Global Offensive
1193359;2020-05-01;Counter Strike: Global Offensive
1305714;2020-04-01;Counter Strike: Global Offensive
1145972;2020-03-01;Counter Strike: Global Offensive
916996;2020-02-01;Counter Strike: Global Offensive
817229;2020-01-01;Counter Strike: Global Offensive
767060;2019-12-01;Counter Strike: Global Offensive
758412;2019-11-01;Counter Strike: Global Offensive
747937;2019-10-01;Counter Strike: Global Offensive
720052;2019-09-01;Counter Strike: Global Offensive
647461;2019-08-01;Counter Strike: Global Offensive
578933;2019-07-01;Counter Strike: Global Offensive
587724;2019-06-01;Counter Strike: Global Offensive
588453;2019-05-01;Counter Strike: Global Offensive
621614;2019-04-01;Counter Strike: Global Offensive
680071;2019-03-01;Counter Strike: Global Offensive
654069;2019-02-01;Counter Strike: Global Offensive
684511;2019-01-01;Counter Strike: Global Offensive
746548;2018-12-01;Counter Strike: Global Offensive
546031;2018-11-01;Counter Strike: Global Offensive
565968;2018-10-01;Counter Strike: Global Offensive
583029;2018-09-01;Counter Strike: Global Offensive
454370;2018-08-01;Counter Strike: Global Offensive
426008;2018-07-01;Counter Strike: Global Offensive
420261;2018-06-01;Counter Strike: Global Offensive
454481;2018-05-01;Counter Strike: Global Offensive
523262;2018-04-01;Counter Strike: Global Offensive
672502;2018-03-01;Counter Strike: Global Offensive
686588;2018-02-01;Counter Strike: Global Offensive
715850;2018-01-01;Counter Strike: Global Offensive
598405;2017-12-01;Counter Strike: Global Offensive
601881;2017-11-01;Counter Strike: Global Offensive
639968;2017-10-01;Counter Strike: Global Offensive
665371;2017-09-01;Counter Strike: Global Offensive
595781;2017-08-01;Counter Strike: Global Offensive
624785;2017-07-01;Counter Strike: Global Offensive
614621;2017-06-01;Counter Strike: Global Offensive
692966;2017-05-01;Counter Strike: Global Offensive
709841;2017-04-01;Counter Strike: Global Offensive
742356;2017-03-01;Counter Strike: Global Offensive
744468;2017-02-01;Counter Strike: Global Offensive
814616;2017-01-01;Counter Strike: Global Offensive
662460;2016-12-01;Counter Strike: Global Offensive
627124;2016-11-01;Counter Strike: Global Offensive
661985;2016-10-01;Counter Strike: Global Offensive
638360;2016-09-01;Counter Strike: Global Offensive
599095;2016-08-01;Counter Strike: Global Offensive
636056;2016-07-01;Counter Strike: Global Offensive
579110;2016-06-01;Counter Strike: Global Offensive
668612;2016-05-01;Counter Strike: Global Offensive
850485;2016-04-01;Counter Strike: Global Offensive
737599;2016-03-01;Counter Strike: Global Offensive
738969;2016-02-01;Counter Strike: Global Offensive
667432;2016-01-01;Counter Strike: Global Offensive
823694;2015-12-01;Counter Strike: Global Offensive
786707;2015-11-01;Counter Strike: Global Offensive
732093;2015-10-01;Counter Strike: Global Offensive
725939;2015-09-01;Counter Strike: Global Offensive
819902;2015-08-01;Counter Strike: Global Offensive
541181;2015-07-01;Counter Strike: Global Offensive
610401;2015-06-01;Counter Strike: Global Offensive
677701;2015-05-01;Counter Strike: Global Offensive
568556;2015-04-01;Counter Strike: Global Offensive
595439;2015-03-01;Counter Strike: Global Offensive
455508;2015-02-01;Counter Strike: Global Offensive
443188;2015-01-01;Counter Strike: Global Offensive
367634;2014-12-01;Counter Strike: Global Offensive
348018;2014-11-01;Counter Strike: Global Offensive
260613;2014-10-01;Counter Strike: Global Offensive
242494;2014-09-01;Counter Strike: Global Offensive
277192;2014-08-01;Counter Strike: Global Offensive
193613;2014-07-01;Counter Strike: Global Offensive
164134;2014-06-01;Counter Strike: Global Offensive
170137;2014-05-01;Counter Strike: Global Offensive
142526;2014-04-01;Counter Strike: Global Offensive
164495;2014-03-01;Counter Strike: Global Offensive
119764;2014-02-01;Counter Strike: Global Offensive
102084;2014-01-01;Counter Strike: Global Offensive
96298;2013-12-01;Counter Strike: Global Offensive
92279;2013-11-01;Counter Strike: Global Offensive
53263;2013-10-01;Counter Strike: Global Offensive
52052;2013-09-01;Counter Strike: Global Offensive
50511;2013-08-01;Counter Strike: Global Offensive
42149;2013-07-01;Counter Strike: Global Offensive
33700;2013-06-01;Counter Strike: Global Offensive
53379;2013-05-01;Counter Strike: Global Offensive
31966;2013-04-01;Counter Strike: Global Offensive
32166;2013-03-01;Counter Strike: Global Offensive
35238;2013-02-01;Counter Strike: Global Offensive
31359;2013-01-01;Counter Strike: Global Offensive
27553;2012-12-01;Counter Strike: Global Offensive
50533;2012-11-01;Counter Strike: Global Offensive
20850;2012-10-01;Counter Strike: Global Offensive
36057;2012-09-01;Counter Strike: Global Offensive
52261;2012-08-01;Counter Strike: Global Offensive
1642;2012-07-01;Counter Strike: Global Offensive
